date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:02:58	37975/37975	--FM--	200	added ('OK')	text/html		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/index.html	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/index.html	(from )
04:02:58	57525/57525	--FM--	200	added ('OK')	text/css		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from )
04:02:58	63670/63670	--FM--	200	added ('OK')	text/css		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/cdn.jsdelivr.net/npm/bootstrap-icons%401.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from )
04:02:58	16953/16953	--FM--	200	added ('OK')	text/css		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/lib/animate/animate.min.css	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/lib/animate/animate.min.css	(from )
04:02:58	2608/2608	--FM--	200	added ('OK')	text/css		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/lib/lightbox/css/lightbox.min.css	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/lib/lightbox/css/lightbox.min.css	(from )
04:02:58	2936/2936	--FM--	200	added ('OK')	text/css		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/lib/owlcarousel/assets/owl.carousel.min.css	(from )
04:02:58	164186/164186	--FM--	200	added ('OK')	text/css		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/css/bootstrap.min.css	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/css/bootstrap.min.css	(from )
04:02:58	7419/7419	--FM--	200	added ('OK')	text/css		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/css/style.css	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/css/style.css	(from )
04:02:58	8788/8788	--FM--	200	added ('OK')	image/jpeg		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/img/project-1.jpg	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/img/project-1.jpg	(from )
04:02:59	14736/14736	--FM--	200	added ('OK')	image/jpeg		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/img/project-2.jpg	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/img/project-2.jpg	(from )
04:02:59	19812/19812	--FM--	200	added ('OK')	image/jpeg		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/img/project-3.jpg	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/img/project-3.jpg	(from )
04:02:59	203873/203873	--FM--	200	added ('OK')	image/jpeg		file:///C:/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/img/client1.jpg	C:/My%20Web%20Sites/aa1soloo/file/C_/Users/SANDRA/Desktop/Portfolio%20-%20Copy/portfolio/portfolio1/img/client1.jpg	(from )
